Instances, inst1, inst2, inst3, inst4, inst5, inst6, inst7, inst8, inst9, inst10
1000, 53.0, 67.4, 50.1, 53.0, 53.3, 48.5, 62.6, 63.9, 45.4, 53.1
1500, 118.6, 98.5, 125.0, 117.2, 104.7, 129.8, 149.9, 117.1, 129.7, 117.1
2000, 159.3, 207.9, 210.8, 182.7, 201.4, 207.6, 181.3, 236.0, 198.5, 201.5
2500, 207.7, 261.0, 231.5, 237.5, 313.9, 306.4, 281.3, 259.5, 236.0, 317.0
3000, 439.2, 392.3, 359.5, 431.2, 381.3, 378.1, 418.8, 334.8, 447.1, 486.1
3500, 347.3, 476.5, 520.5, 412.7, 438.0, 409.4, 528.3, 553.0, 517.0, 413.8
4000, 607.7, 499.9, 615.8, 620.4, 578.3, 485.9, 604.7, 725.0, 656.4, 639.1
4500, 962.6, 1056.4, 1282.9, 1054.6, 1154.9, 993.8, 1085.9, 1156.2, 1010.9, 864.3
5000, 950.0, 1035.9, 776.7, 765.7, 1026.6, 868.7, 762.5, 928.2, 978.1, 779.7
